relevance,word_in_title,word_in_description,word_in_attribute,len_of_query,len_of_attributes,brandname,nrBullets,search_term_nrNumbers,product_title_nrNumbers,product_description_nrNumbers,attributes_nrNumbers,product_title_measurements_nrMeasurementMatch,product_description_measurements_nrMeasurementMatch,attributes_measurements_nrMeasurementMatch
3.0,1,1,1,2,67,1.0,7,0,0,3,8,0,0,0
2.5,1,1,1,2,67,1.0,7,0,0,3,8,0,0,0
3.0,1,1,2,2,148,1.0,10,0,0,4,9,0,0,0
2.33,1,1,0,3,101,1.0,4,0,0,1,8,0,0,0
2.67,3,2,0,3,101,1.0,4,0,0,1,8,0,0,0
3.0,1,2,1,2,431,1.0,17,0,1,4,22,0,0,0
2.67,2,2,2,3,431,1.0,17,0,1,4,22,0,0,0
3.0,1,1,1,1,431,1.0,17,0,1,4,22,0,0,0
2.67,2,2,1,2,105,1.0,10,0,0,4,10,0,0,0
3.0,2,2,0,2,51,1.0,5,1,3,4,6,0,0,0
2.67,1,2,2,2,54,1.0,5,0,0,2,6,0,0,0
3.0,4,5,3,5,246,1.0,13,0,1,3,20,0,0,0
3.0,2,2,1,2,246,1.0,13,0,1,3,20,0,0,0
2.0,1,1,1,2,246,1.0,13,0,1,3,20,0,0,0
2.67,4,3,3,6,252,1.0,16,0,2,7,16,0,0,0
2.67,1,1,1,1,63,1.0,5,0,0,0,3,0,0,0
3.0,2,2,1,2,45,1.0,6,0,3,2,7,0,0,0
1.0,0,1,1,2,71,1.0,7,0,2,5,11,0,0,0
1.67,0,0,0,4,71,1.0,7,0,2,5,11,0,0,0
2.33,0,0,0,2,71,1.0,7,0,2,5,11,0,0,0
2.33,0,2,2,2,71,1.0,7,0,2,5,11,0,0,0
1.33,0,2,1,4,62,1.0,5,0,1,7,9,0,0,0
2.67,1,1,1,3,62,1.0,5,0,1,7,9,0,0,0
2.33,1,1,1,2,62,1.0,5,0,1,7,9,0,0,0
1.33,1,1,0,2,62,1.0,5,0,1,7,9,0,0,0
2.33,1,3,3,3,62,1.0,5,0,1,7,9,0,0,0
