rain,radarX,radarY,date,text,latlon,tiffile,labels
466.0,328.0,387.0,20100930,@Agatkaaah okaaay (: eey en binnenkort ga ik ook weer een feestje geven. :)) hopelijk zonder overstroming deze keer xd,"(52.47452569, 4.64945268)",ahn2_5_25an1.tif,1
732.0,466.0,275.0,20101020,@AtleticoBigL Well René: we also have rain. It was just in the news here that Bangkok tomorrow will have some wateroverlast,"(53.32110595, 6.78253489)",ahn2_5_07ez2.tif,1
662.0,331.0,464.0,20101023,@jeaninevdbulk owhjee! Hooguit wat waterschade dan toch?,"(51.81668, 4.6070806)",ahn2_5_38cz1.tif,1
107.0,415.0,370.0,20101030,PRIO 2 Wateroverlast : : Oostzeestraat : 31 8262ES Kampen 1430,"(52.5581406, 5.9063311)",ahn2_5_21dn1.tif,1
245.0,441.0,417.0,20101031,PRIO 2 Wateroverlast : : Weerdslag : 193 7206BZ Zutphen 8231,"(52.1256054, 6.193674)",ahn2_5_33hn1.tif,1
2037.0,308.0,441.0,20101107,http://twitpic.com/34sflg overstroming in de trein okeeeeee,"(52.029119, 4.3191103)",ahn2_5_37en1.tif,1
1926.0,322.0,498.0,20101113,Brandweer gepaste spoed naar Wouwseweg in #roosendaal voor #wateroverlast http://alarmer.in/g/5645732,"(51.531849, 4.444306)",ahn2_5_49en2.tif,1
138.0,337.0,436.0,20101113,Ik zie overal wateroverlast. Hier geen druppel gevallen... Droog @Reeuwijk. Ik vrees voor morgen.,"(52.04874329, 4.72430776)",ahn2_5_31cz2.tif,1
1753.0,351.0,484.0,20101113,Brandweer gepaste spoed naar Paterserf in #oosterhout voor #wateroverlast http://alarmer.in/g/5646171,"(51.6287759, 4.8565074)",ahn2_5_44dz2.tif,1
2364.0,405.0,477.0,20101113,Wateroverlast door infiltratiebestrating in gemeente uden - http://moby.to/f0l7ww,"(51.647127, 5.616036)",ahn2_5_45hn1.tif,1
5068.0,428.0,541.0,20101113,Brandweer naar Oud Roosteren in #roosteren voor #wateroverlast http://alarmer.in/g/5646919,"(51.0812728, 5.8321257)",ahn2_5_68bz2.tif,1
5068.0,428.0,541.0,20101113,Brandweer naar Oud Roosteren in #roosteren voor #wateroverlast http://alarmer.in/g/5646853,"(51.0812728, 5.8321257)",ahn2_5_68bz2.tif,1
6218.0,428.0,551.0,20101113,"Weilanden onder water langs de Mauritsweg thv Hornbach #046
#wateroverlast","(50.99201422, 5.82529383)",ahn2_5_68dn2.tif,1
6327.0,428.0,552.0,20101113,De Egelantier staat volledig onder water... #046 #wateroverlast http://moby.to/geepvb,"(50.98530802, 5.82594877)",ahn2_5_68dn2.tif,1
6438.0,428.0,553.0,20101113,#wateroverlast *gaspedaal iets dieper intrapt* - http://moby.to/4dlyba,"(50.97633, 5.822123)",ahn2_5_68dn2.tif,1
5836.0,429.0,549.0,20101113,De zandzakken liggen al klaar... #wateroverlast #Baarlo,"(51.01268095, 5.83776371)",ahn2_5_68dn2.tif,1
5763.0,430.0,549.0,20101113,"“@Ploes: krijg bijna zin om in de plassen te gaan springen #regen #wateroverlast”

Ik wil meeeeeeeej!! *laarzen aantrekt*","(51.01046282, 5.84805262)",ahn2_5_68dn2.tif,1
5763.0,430.0,549.0,20101113,"@Sjra1978 Ja, dat wel.. Maar toch, het idee ....... #wateroverlast","(51.01046282, 5.84805262)",ahn2_5_68dn2.tif,1
5763.0,430.0,549.0,20101113,"Ik ga de roeiboot alvast opblazen... De #Maas stijgt behoorlijk, ze gaan het calamiteitenplan al erbij halen... #wateroverlast","(51.01046282, 5.84805262)",ahn2_5_68dn2.tif,1
5763.0,430.0,549.0,20101113,"@KittyKamp2 Herkenbaar ...... Ook hier diverse straten blank, en weilanden zijn meren geworden... #wateroverlast","(51.01421904, 5.84868955)",ahn2_5_68dn2.tif,1
5914.0,433.0,550.0,20101113,"@Arvid kwam met de auto langs t zwembad, de beek ernaast staat nu op straathoogte, nolenslaan afgesloten wateroverlast :( niet goed!","(50.99971287, 5.89849022)",ahn2_5_68gn1.tif,1
