rain,radarX,radarY,date,latitude,longitude,labels
86.0,315.0,422.0,2016-01-01,52.1898383,4.4307666,1
14.0,342.0,398.0,2016-01-01,52.3747688,4.8369466,1
12.0,345.0,399.0,2016-01-01,52.3659341,4.8797859,1
12.0,348.0,399.0,2016-01-01,52.3584023,4.913185,1
642.0,319.0,458.0,2016-01-02,51.8722479,4.4414128,1
290.0,335.0,398.0,2016-01-02,52.3809084,4.7330277,1
425.0,353.0,405.0,2016-01-02,52.307923,4.9755446,1
1579.0,304.0,437.0,2016-01-03,52.0633547,4.2574876,1
1233.0,320.0,444.0,2016-01-03,51.99372,4.476477,1
1075.0,329.0,385.0,2016-01-03,52.4973961,4.6645799,1
1220.0,364.0,414.0,2016-01-03,52.2182291,5.1214487,1
109.0,313.0,504.0,2016-01-04,51.4857216,4.3098238,1
1148.0,318.0,435.0,2016-01-04,52.0678612,4.4619003,1
580.0,323.0,455.0,2016-01-04,51.8966825,4.5086512,1
571.0,416.0,506.0,2016-01-04,51.3910133,5.7212825,1
114.0,320.0,425.0,2016-01-05,52.1550567,4.499067,1
208.0,372.0,403.0,2016-01-05,52.3055033,5.2495719,1
13.0,307.0,435.0,2016-01-06,52.0791263,4.3086015,1
98.0,309.0,454.0,2016-01-06,51.9143836,4.316294,1
66.0,315.0,448.0,2016-01-06,51.9605978,4.3954796,1
109.0,421.0,452.0,2016-01-06,51.8459231,5.8642825,1
2211.0,307.0,435.0,2016-01-07,52.0834335,4.3041655,1
2007.0,307.0,438.0,2016-01-07,52.051284,4.2976972,1
2007.0,307.0,438.0,2016-01-07,52.051284,4.2976972,1
2007.0,308.0,437.0,2016-01-07,52.0643735,4.3234694,1
2007.0,308.0,439.0,2016-01-07,52.044014,4.3185012,1
2007.0,308.0,439.0,2016-01-07,52.044014,4.3185012,1
2020.0,311.0,431.0,2016-01-07,52.1154202,4.3661585,1
1923.0,313.0,432.0,2016-01-07,52.102544,4.3983018,1
2048.0,320.0,453.0,2016-01-07,51.913886,4.4641566,1
2048.0,320.0,453.0,2016-01-07,51.9159891,4.4665257,1
1665.0,329.0,398.0,2016-01-07,52.3835289,4.6584754,1
1700.0,338.0,402.0,2016-01-07,52.3409878,4.7791791,1
1821.0,346.0,398.0,2016-01-07,52.3702157,4.8951679,1
1205.0,353.0,399.0,2016-01-07,52.3603518,4.992875,1
1205.0,353.0,399.0,2016-01-07,52.3603518,4.992875,1
1101.0,424.0,392.0,2016-01-07,52.3612787,5.9885782,1
58.0,451.0,290.0,2016-01-08,53.2133613,6.5317585000000005,1
81.0,485.0,293.0,2016-01-08,53.151927,7.0232021,1
53.0,313.0,452.0,2016-01-09,51.9326417,4.3732382,1
81.0,320.0,450.0,2016-01-09,51.9442705,4.4703385,1
110.0,321.0,451.0,2016-01-09,51.9330842,4.4787893,1
92.0,336.0,468.0,2016-01-09,51.7749214,4.6689312,1
17.0,345.0,406.0,2016-01-09,52.3048139,4.8642449,1
32.0,365.0,398.0,2016-01-09,52.3556666,5.158006,1
52.0,373.0,405.0,2016-01-09,52.2923066,5.2634055,1
110.0,305.0,437.0,2016-01-10,52.0649318,4.2784887,1
329.0,311.0,454.0,2016-01-10,51.914669,4.3420794,1
271.0,320.0,448.0,2016-01-10,51.9587386,4.4690604,1
78.0,323.0,436.0,2016-01-10,52.0642397,4.5297308,1
39.0,333.0,408.0,2016-01-10,52.2930374,4.6972795,1
67.0,345.0,399.0,2016-01-10,52.3632702,4.8737316,1
47.0,345.0,405.0,2016-01-10,52.3072807,4.8713127,1
64.0,346.0,399.0,2016-01-10,52.3635598,4.8849894,1
47.0,423.0,305.0,2016-01-10,53.1056077,6.1047554,1
379.0,308.0,439.0,2016-01-11,52.0402863,4.3118851,1
399.0,309.0,435.0,2016-01-11,52.0776538,4.3377542,1
509.0,319.0,451.0,2016-01-11,51.9303412,4.4605435,1
435.0,362.0,433.0,2016-01-11,52.0536901,5.0789203,1
435.0,362.0,433.0,2016-01-11,52.053762,5.0789198,1
285.0,369.0,426.0,2016-01-11,52.1083316,5.1786813,1
386.0,399.0,501.0,2016-01-12,51.4451903,5.4900919,1
267.0,440.0,555.0,2016-01-12,50.954607,5.9775612,1
233.0,447.0,506.0,2016-01-12,51.3622976,6.1404258,1
757.0,312.0,439.0,2016-01-13,52.0422478,4.3728855,1
2236.0,307.0,436.0,2016-01-14,52.0712785,4.3039201,1
2048.0,349.0,399.0,2016-01-14,52.3629202,4.9270711,1
2112.0,247.0,529.0,2016-01-15,51.3098374,3.3874925,1
2393.0,303.0,481.0,2016-01-15,51.6853387,4.2065023,1
1809.0,304.0,435.0,2016-01-15,52.0815101,4.2563433,1
1648.0,306.0,436.0,2016-01-15,52.0704588,4.2853135,1
1473.0,311.0,433.0,2016-01-15,52.0970894,4.3668398,1
1473.0,311.0,433.0,2016-01-15,52.0970894,4.3668398,1
1473.0,311.0,433.0,2016-01-15,52.0970655,4.3599517,1
1512.0,313.0,452.0,2016-01-15,51.9309464,4.3705283,1
887.0,316.0,421.0,2016-01-15,52.1898781,4.4435159,1
915.0,320.0,449.0,2016-01-15,51.9531658,4.4652834,1
991.0,320.0,454.0,2016-01-15,51.9058519,4.4633618,1
431.0,329.0,385.0,2016-01-15,52.4937181,4.6716491,1
587.0,331.0,417.0,2016-01-15,52.2205628,4.6665135,1
148.0,345.0,396.0,2016-01-15,52.3881444,4.8839434,1
275.0,270.0,481.0,2016-01-16,51.7072546,3.7396213,1
457.0,306.0,437.0,2016-01-16,52.0630472,4.2876836,1
699.0,324.0,457.0,2016-01-16,51.8802014,4.5228703,1
452.0,344.0,398.0,2016-01-16,52.3708773,4.864964,1
78.0,489.0,401.0,2016-01-16,52.2211381,6.8961485,1
17.0,480.0,393.0,2016-01-17,52.2976131,6.7718537,1
23.0,306.0,437.0,2016-01-19,52.0633131,4.2895192,1
20.0,314.0,453.0,2016-01-19,51.9235477,4.3871965,1
11.0,348.0,393.0,2016-01-19,52.4110072,4.9255136,1
194.0,313.0,451.0,2016-01-20,51.9351534,4.3695169,1
371.0,318.0,451.0,2016-01-20,51.9326402,4.440985,1
23.0,368.0,413.0,2016-01-20,52.2227123,5.178805,1
633.0,299.0,463.0,2016-01-22,51.8444014,4.1607257,1
518.0,319.0,437.0,2016-01-22,52.0578899,4.4695577,1
454.0,321.0,453.0,2016-01-22,51.9186983,4.4832016,1
507.0,339.0,400.0,2016-01-22,52.3615416,4.7972325,1
521.0,345.0,404.0,2016-01-22,52.3191039,4.8722755,1
424.0,363.0,431.0,2016-01-22,52.0719621,5.0919984,1
487.0,369.0,396.0,2016-01-22,52.3711387,5.2142744,1
762.0,422.0,454.0,2016-01-22,51.8327599,5.8727693,1
617.0,441.0,415.0,2016-01-22,52.142906,6.1960768,1
585.0,443.0,416.0,2016-01-22,52.1341992,6.2239925,1
461.0,308.0,441.0,2016-01-24,52.0305657,4.3134446,1
316.0,311.0,435.0,2016-01-24,52.0787559,4.3610141,1
390.0,311.0,455.0,2016-01-24,51.9053443,4.3345876,1
392.0,322.0,448.0,2016-01-24,51.9619504,4.4983216,1
395.0,323.0,451.0,2016-01-24,51.932766,4.5057333,1
356.0,327.0,447.0,2016-01-24,51.9661939,4.5690461,1
196.0,328.0,386.0,2016-01-24,52.4862824,4.6520708,1
171.0,348.0,399.0,2016-01-24,52.363734,4.9213302,1
182.0,364.0,426.0,2016-01-24,52.1182451,5.108859,1
550.0,303.0,438.0,2016-01-26,52.0560698,4.2394155,1
622.0,304.0,434.0,2016-01-26,52.0886122,4.2677352,1
622.0,304.0,434.0,2016-01-26,52.0886122,4.2677352,1
620.0,305.0,434.0,2016-01-26,52.0858132,4.2787778,1
602.0,308.0,435.0,2016-01-26,52.0754162,4.3170217,1
608.0,321.0,436.0,2016-01-26,52.0624891,4.4937297,1
247.0,326.0,461.0,2016-01-26,51.845639,4.5412972,1
522.0,338.0,383.0,2016-01-26,52.5040482,4.7909281,1
577.0,349.0,398.0,2016-01-26,52.3679336,4.9312625,1
228.0,364.0,441.0,2016-01-26,51.9873743,5.0925364,1
1357.0,310.0,434.0,2016-01-27,52.0848574,4.3476991,1
1324.0,318.0,453.0,2016-01-27,51.9187441,4.4432836,1
1104.0,328.0,392.0,2016-01-27,52.4330622,4.6442348,1
1523.0,328.0,448.0,2016-01-27,51.9528108,4.5835318,1
1648.0,346.0,400.0,2016-01-27,52.3529346,4.8947359,1
846.0,365.0,489.0,2016-01-27,51.5719434,5.0514859,1
