rain,radarX,radarY,date,latitude,longitude,labels,tiffile
86.0,315.0,422.0,2016-01-01,52.1898383,4.4307666,1,ahn2_5_30ez2.tif
14.0,342.0,398.0,2016-01-01,52.3747688,4.8369466,1,ahn2_5_25bz2.tif
12.0,345.0,399.0,2016-01-01,52.3659341,4.8797859,1,ahn2_5_25gn1.tif
12.0,348.0,399.0,2016-01-01,52.3584023,4.913185,1,ahn2_5_25gn1.tif
642.0,319.0,458.0,2016-01-02,51.8722479,4.4414128,1,ahn2_5_37gn2.tif
290.0,335.0,398.0,2016-01-02,52.3809084,4.7330277,1,ahn2_5_25bz1.tif
425.0,353.0,405.0,2016-01-02,52.307923,4.9755446,1,ahn2_5_25gz2.tif
1579.0,304.0,437.0,2016-01-03,52.0633547,4.2574876,1,ahn2_5_30dz2.tif
1233.0,320.0,444.0,2016-01-03,51.99372,4.476477,1,ahn2_5_37fn1.tif
1075.0,329.0,385.0,2016-01-03,52.4973961,4.6645799,1,ahn2_5_19cz2.tif
1220.0,364.0,414.0,2016-01-03,52.2182291,5.1214487,1,ahn2_5_31fn2.tif
109.0,313.0,504.0,2016-01-04,51.4857216,4.3098238,1,ahn2_5_49ez1.tif
1148.0,318.0,435.0,2016-01-04,52.0678612,4.4619003,1,ahn2_5_30hz1.tif
580.0,323.0,455.0,2016-01-04,51.8966825,4.5086512,1,ahn2_5_37hn1.tif
571.0,416.0,506.0,2016-01-04,51.3910133,5.7212825,1,ahn2_5_51hz2.tif
114.0,320.0,425.0,2016-01-05,52.1550567,4.499067,1,ahn2_5_30fz1.tif
208.0,372.0,403.0,2016-01-05,52.3055033,5.2495719,1,ahn2_5_26cz2.tif
13.0,307.0,435.0,2016-01-06,52.0791263,4.3086015,1,ahn2_5_30gz1.tif
98.0,309.0,454.0,2016-01-06,51.9143836,4.316294,1,ahn2_5_37gn1.tif
66.0,315.0,448.0,2016-01-06,51.9605978,4.3954796,1,ahn2_5_37ez2.tif
109.0,421.0,452.0,2016-01-06,51.8459231,5.8642825,1,ahn2_5_40cz2.tif
2211.0,307.0,435.0,2016-01-07,52.0834335,4.3041655,1,ahn2_5_30gz1.tif
2007.0,307.0,438.0,2016-01-07,52.051284,4.2976972,1,ahn2_5_30gz1.tif
2007.0,307.0,438.0,2016-01-07,52.051284,4.2976972,1,ahn2_5_30gz1.tif
2007.0,308.0,437.0,2016-01-07,52.0643735,4.3234694,1,ahn2_5_30gz1.tif
2007.0,308.0,439.0,2016-01-07,52.044014,4.3185012,1,ahn2_5_30gz1.tif
2007.0,308.0,439.0,2016-01-07,52.044014,4.3185012,1,ahn2_5_30gz1.tif
2020.0,311.0,431.0,2016-01-07,52.1154202,4.3661585,1,ahn2_5_30gn2.tif
1923.0,313.0,432.0,2016-01-07,52.102544,4.3983018,1,ahn2_5_30gn2.tif
2048.0,320.0,453.0,2016-01-07,51.913886,4.4641566,1,ahn2_5_37hn1.tif
2048.0,320.0,453.0,2016-01-07,51.9159891,4.4665257,1,ahn2_5_37hn1.tif
1665.0,329.0,398.0,2016-01-07,52.3835289,4.6584754,1,ahn2_5_25az2.tif
1700.0,338.0,402.0,2016-01-07,52.3409878,4.7791791,1,ahn2_5_25dn1.tif
1821.0,346.0,398.0,2016-01-07,52.3702157,4.8951679,1,ahn2_5_25gn1.tif
1205.0,353.0,399.0,2016-01-07,52.3603518,4.992875,1,ahn2_5_25gn2.tif
1205.0,353.0,399.0,2016-01-07,52.3603518,4.992875,1,ahn2_5_25gn2.tif
